"name","artists","duration_ms","release_date","year","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","mode","key","popularity","explicit","count"
"18 German Dances and Ecossaises, D. 783: No. 6 in B-Flat Major","['Franz Schubert', 'William Kapell']","35093","1945","1945","0.966","0.27","0.411","0.871","0.144","-12.265","0.0949","189.704","0.315","1","10","0","0","2"
"18 German Dances and Ecossaises, D. 783: No. 7 in B-Flat Major","['Franz Schubert', 'William Kapell']","44707","1945","1945","0.995","0.404","0.122","0.459","0.0896","-19.706","0.0514","137.046","0.471","1","10","0","0","2"
"18 Wiener Damen Ländler und Ecossaisen, D. 734: No. 1, Ländler in G Major","['Franz Schubert', 'William Kapell']","59373","1945","1945","0.988","0.666","0.297","0.679","0.14","-15.679","0.19","81.359","0.286","1","7","0","0","2"
"3 Romanzen, Op. 28: 2. Einfach","['Robert Schumann', 'William Kapell']","208640","1945","1945","0.992","0.286","0.0231","0.919","0.213","-25.21","0.0329","75.078","0.0931","1","6","0","0","2"
"36 Original Dances, D. 365: No. 26, Deutscher Tanz in E Major","['Franz Schubert', 'William Kapell']","37867","1945","1945","0.981","0.697","0.187","0.946","0.301","-17.202","0.0772","92.18","0.42","1","4","0","0","2"
"36 Original Dances, D. 365: No. 34, Deutscher Tanz in F Major","['Franz Schubert', 'William Kapell']","48093","1945","1945","0.993","0.474","0.207","0.924","0.0775","-19.815","0.0652","52.33","0.039","1","5","0","0","2"
"4 Impromptus, D. 935: No. 2 in A-Flat Major","['Franz Schubert', 'William Kapell']","436333","1945","1945","0.991","0.337","0.046","0.913","0.136","-20.894","0.0353","96.771","0.158","1","8","0","0","2"
"5. Sonetto 104 del Petrarca","['Franz Liszt', 'William Kapell']","405027","1945","1945","0.993","0.349","0.0653","0.923","0.115","-21.338","0.0459","78.289","0.0384","1","4","0","0","2"
"6 Moment musical, D. 780: No.3 in F Minor, Allegro moderato","['Franz Schubert', 'William Kapell']","122600","1945","1945","0.994","0.555","0.111","0.895","0.0817","-22.344","0.0299","81.801","0.399","1","1","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Theme - Adagio","['Ludwig van Beethoven', 'Claudio Arrau']","100373","1941","1941","0.993","0.569","0.00467","0.929","0.0586","-27.882","0.08","75.702","0.324","1","5","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation I","['Ludwig van Beethoven', 'Claudio Arrau']","94467","1941","1941","0.992","0.463","0.0559","0.907","0.174","-25.281","0.0395","124.133","0.612","1","2","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation II","['Ludwig van Beethoven', 'Claudio Arrau']","59627","1941","1941","0.993","0.477","0.112","0.901","0.104","-21.434","0.0609","117.598","0.739","1","10","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation III","['Ludwig van Beethoven', 'Claudio Arrau']","78053","1941","1941","0.995","0.461","0.119","0.897","0.139","-24.839","0.0597","116.928","0.963","1","7","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation IV","['Ludwig van Beethoven', 'Claudio Arrau']","105333","1941","1941","0.995","0.512","0.0473","0.491","0.158","-23.927","0.0564","136.337","0.359","1","3","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation V","['Ludwig van Beethoven', 'Claudio Arrau']","104973","1941","1941","0.995","0.47","0.0805","0.907","0.0935","-20.594","0.0535","120.411","0.285","0","0","0","0","2"
"6 Variations on an Original Theme in F Major, Op. 34: Variation VI and Coda","['Ludwig van Beethoven', 'Claudio Arrau']","248787","1941","1941","0.991","0.407","0.047","0.931","0.0932","-23.59","0.043","74.966","0.12","1","5","0","0","2"
"7 Fantasies, Op. 116: 6. Intermezzo in E Major. Andantino teneramente","['Johannes Brahms', 'William Kapell']","186893","1945","1945","0.995","0.488","0.0484","0.89","0.108","-21.085","0.0511","80.084","0.0609","1","4","0","0","2"
"7 Variations on ""Bei Männern, welche Liebe fühlen"", WoO 46","['Ludwig van Beethoven', 'Pablo Casals']","653800","1952","1952","0.987","0.285","0.101","0.9","0.133","-20.301","0.0452","73.591","0.217","1","3","0","0","2"
"A media luz","['Veronica Gonzalez Day']","86061","1945","1945","0.868","0.594","0.149","0","0.119","-14.983","0.0689","36.586","0.667","1","11","0","0","2"
"A Sermon, a Narrative, and a Prayer: II. A Narrative","['Igor Stravinsky', 'CBC Symphony Orchestra']","448560","1948","1948","0.956","0.316","0.151","5.75e-06","0.688","-18.464","0.0689","175.474","0.0489","1","7","0","0","2"
"A Sermon, a Narrative, and a Prayer: III. A Prayer","['Igor Stravinsky', 'CBC Symphony Orchestra']","227440","1948","1948","0.95","0.236","0.264","0.000308","0.112","-17.756","0.0473","132.129","0.0757","1","8","0","0","2"
"Adagio II","['Johannes Brahms', 'William Kapell', 'Jascha Heifetz']","273400","1945","1945","0.896","0.1","0.225","0.554","0.0955","-18.099","0.0456","176.113","0.0567","1","2","0","0","2"
"Adagio II","['Wolfgang Amadeus Mozart', 'William Kapell']","374227","1945","1945","0.994","0.392","0.0722","0.894","0.121","-27.466","0.0468","92.167","0.253","1","3","0","0","2"
"Adagio II","['Wolfgang Amadeus Mozart', 'William Kapell']","467733","1945","1945","0.994","0.362","0.0336","0.89","0.117","-31.421","0.0377","95.528","0.332","1","3","0","0","2"
"Aida: O terra addio","['Giuseppe Verdi', 'Kurt Baum', 'Max Rudolf', 'Metropolitan Opera Orchestra']","258720","1949","1949","0.971","0.24","0.155","0.000279","0.113","-18.781","0.0431","134.317","0.055","1","1","0","0","3"
"Aida: Pur ti riveggo, mia dolce Aida","['Giuseppe Verdi', 'Kurt Baum', 'Max Rudolf', 'Metropolitan Opera Orchestra']","502027","1949","1949","0.984","0.286","0.209","0.0661","0.0994","-14.565","0.0568","84.18","0.201","1","5","0","0","3"
"Allegro moderato (beginning) I","['Wolfgang Amadeus Mozart', 'William Kapell']","107933","1945","1945","0.993","0.394","0.162","0.922","0.118","-19.824","0.038","67.165","0.659","1","7","0","0","2"
"Allemande (beginning)","['Johann Sebastian Bach', 'William Kapell']","134933","1945","1945","0.994","0.345","0.0777","0.931","0.102","-23.57","0.0417","68.699","0.232","1","9","0","0","2"
"Alone Together","['Fall Out Boy']","203413","1/1/13","2013","0.0013","0.552","0.915","3.74e-05","0.206","-3.713","0.0559","90.013","0.606","1","4","60","0","2"
"Andante spianato in E-Flat Major, Op. 22","['Frédéric Chopin', 'Vladimir Horowitz']","245440","1928","1928","0.975","0.277","0.09","0.949","0.125","-26.188","0.0316","105.031","0.168","1","7","0","0","2"
"Anthem ""The Dove Descending Breaks the Air""","['Igor Stravinsky']","217960","1948","1948","0.993","0.18","0.0847","0.125","0.107","-22.245","0.0454","77.337","0.0339","0","6","0","0","2"
"Arkadiani","['Dimitris Perdikopoulos']","186587","1/1/40","1940","0.965","0.678","0.466","0.0297","0.0577","-7.764","0.09","80.998","0.891","1","10","0","0","2"
"Arkadiani","['Stathis Kavouras', 'Giannis Konstantinou', 'Giorgos Papadopoulos', 'Tasos Kostopoulos']","164667","1/1/50","1950","0.977","0.444","0.632","0.855","0.173","-9.12","0.0345","84.075","0.908","0","2","0","0","2"
"Ave Maria - Revised 1949 version","['Igor Stravinsky']","85667","1948","1948","0.991","0.144","0.104","0.161","0.137","-28.488","0.0478","71.38","0.0976","1","10","0","0","2"
"Baal Shem - Three PIctures of Chassidic Life: II. Nigun","['Ernest Bloch', 'Isaac Stern', 'Alexander Zakin']","379267","1949","1949","0.974","0.253","0.206","0.729","0.159","-16.584","0.0421","104.804","0.0924","0","7","0","0","2"
"Babel","['Igor Stravinsky', 'CBC Symphony Orchestra']","313267","1948","1948","0.955","0.319","0.214","0.122","0.0987","-19.197","0.0421","130.07","0.139","1","0","0","0","2"
